41475         10   ..                     101100
41476         2.   ..                       .  .
41477         10   ..                      99 98
41478         2.   ..                       .  .
41479         10   ..                     101100
41480         2.   ..                       .  .
41481         10   ..                     106105
41482         10   ..                      98 97
41483         10   ..                     105104
41484         2.   ..                       .  .
41485         10   ..                      97 96
41486         10   ..                     107107
41487         10   ..                      95 94
41488         2.   ..                       .  .
41489         10   ..                      86 85
41490         10   ..                      99 99
41491         2.   ..                       .  .
41492         10   ..                      88 88
41493         1101000                      28 27
41494         10   ..                     104103
41495         10   ..                     105104
41496         1101001                      73 73
41497         2.   ..                       .  .
41498         10   ..                      91 89
41499         2.   ..                       .  .
41500         2.   ..                       .  .
41501         10   ..                      97 97
41502         10   ..                      98 97
41503         10   ..                      88 88
41504         10   ..                      95 94
41505         2.   ..                       .  .
41506         10   ..                     101101
41507         2.   ..                       .  .
41508         2.   ..                       .  .
41509         10   ..                      88 88
41510         10   ..                     100 99
41511         10   ..                     104103
41512         1101000                      97 95
41513         1101000                      77 77
41514         10   ..                      94 93
41515         2.   ..                       .  .
41516         10   ..                      93 90
41517         2.   ..                       .  .
41518         10   ..                      97 97
41519         10   ..                      94 93
41520         2.   ..                       .  .
41521         2.   ..                       .  .
41522         10   ..                      92 92
41523         10   ..                      98 97
41524         10   ..                      89 88
41525         10   ..                     106105
41526         10   ..                      90 90
41527         10   ..                      90 89
41528         10   ..                      88 88
41529         10   ..                      85  .
41530         2.   ..                       .  .
41531         10   ..                     104103
41532         2.   ..                       .  .
41533         2.   ..                       .  .
41534         10   ..                      86 85
41535         2.   ..                       .  .
41536         10   ..                      98 97
41537         2.   ..                       .  .
41538         10   ..                     106  .
41539         10   ..                     106104
41540         10   ..                      99 97
41541         10   ..                      94 92
41542         10   ..                      96 95
41543         2.   ..                       .  .
41544         10   ..                      93  .
41545         10   ..                     100100
41546         10   ..                      89 89
41547         10   ..                     101100
41548         10   ..                     105104
41549         10   ..                      98 97
41550         10   ..                     102101
41551         2.   ..                       .  .
41552         10   ..                      97 96
41553         2.   ..                       .  .
41554         2.   ..                       .  .
41555         10   ..                      89 87
41556         10   ..                      93 92
41557         10   ..                      93  .
41558         10   ..                      90 89
41559         2.   ..                       .  .
41560         2.   ..                       .  .
41561         2.   ..                       .  .
41562         10   ..                     105105
41563         10   ..                     106104
41564         2.   ..                       .  .
41565         10   ..                     101100
41566         2.   ..                       .  .
41567         10   ..                     100 99
41568         2.   ..                       .  .
41569         10   ..                     107  .
41570         1100100                       7  6
41571         2.   ..                       .  .
41572         2.   ..                       .  .
41573         10   ..                      97 95
41574         10   ..                      94 92
41575         10   ..                      98 96
41576         10   ..                      90 90
41577         10   ..                     103102
41578         10   ..                      90 90
41579         10   ..                      97 96
41580         2.   ..                       .  .
41581         10   ..                      97 95
41582         2.   ..                       .  .
41583         10   ..                      86 86
41584         2.   ..                       .  .
41585         2.   ..                       .  .
41586         2.   ..                       .  .
41587         10   ..                     106105
41588         2.   ..                       .  .
41589         1100101                      53 52
41590         10   ..                      85 84
41591         2.   ..                       .  .
41592         10   ..                      92 90
41593         2.   ..                       .  .
41594         10   ..                      86 85
41595         10   ..                     103102
41596         2.   ..                       .  .
41597         10   ..                      88 88
41598         2.   ..                       .  .
41599         10   ..                      97 96
41600         10   ..                      90 89
41601         2.   ..                       .  .
41602         2.   ..                       .  .
41603         2.   ..                       .  .
41604         2.   ..                       .  .
41605         10   ..                     102102
41606         2.   ..                       .  .
41607         10   ..                     107107
41608         2.   ..                       .  .
41609         2.   ..                       .  .
41610         1100200                      48 47
41611         10   ..                     104103
41612         1101000                      33 31
41613         10   ..                      99 97
41614         2.   ..                       .  .
41615         2.   ..                       .  .
41616         10   ..                      90 90
41617         1101000                       5  4
41618         10   ..                     107106
41619         10   ..                      91 90
41620         2.   ..                       .  .
41621         2.   ..                       .  .
41622         10   ..                      93 93
41623         10   ..                      94 93
41624         10   ..                     105105
41625         10   ..                      85 84
41626         10   ..                     105104
41627         10   ..                      95 94
41628         10   ..                     101100
41629         10   ..                      91 88
41630         2.   ..                       .  .
41631         2.   ..                       .  .
41632         2.   ..                       .  .
41633         2.   ..                       .  .
41634         2.   ..                       .  .
41635         10   ..                     104102
41636         10   ..                     100 99
41637         10   ..                      88 88
41638         2.   ..                       .  .
41639         10   ..                      86 86
41640         2.   ..                       .  .
41641         10   ..                      89 88
41642         10   ..                      99 98
41643         10   ..                      90 89
41644         2.   ..                       .  .
41645         2.   ..                       .  .
41646         2.   ..                       .  .
41647         2.   ..                       .  .
41648         10   ..                     104103
41649         2.   ..                       .  .
41650         2.   ..                       .  .
41651         2.   ..                       .  .
41652         10   ..                      88 88
41653         10   ..                      92 91
41654         10   ..                     109108
41655         2.   ..                       .  .
41656         2.   ..                       .  .
41657         2.   ..                       .  .
41658         2.   ..                       .  .
41659         2.   ..                       .  .
41660         2.   ..                       .  .
41661         2.   ..                       .  .
41662         2.   ..                       .  .
41663         10   ..                      84 84
41664         10   ..                      92 91
41665         2.   ..                       .  .
41666         10   ..                      96 95
41667         2.   ..                       .  .
41668         10   ..                      93 92
41669         10   ..                      97 97
41670         10   ..                     103102
41671         1101000                      52 52
41672         10   ..                     100 98
41673         2.   ..                       .  .
41674         10   ..                     109107
41675         1100100                      54 53
41676         10   ..                      94 94
41677         10   ..                     106105
41678         2.   ..                       .  .
